Longitude,Latitude,Date,Frame_wood,Frame_wood_beams,Frame_wood_logs,Frame_wood_planks,Frame_concrete,Frame_concrete_aerated,Frame_stone,Frame_bricks,Frame_bricks_leca,Frame_bricks_adobe,Frame_steel,Frame_wood_saving,Frame,Facade,Foundation,Roofing,Windows
17.96044952529997,59.50057547377544,1999-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Träpanel,,,
18.515672506176607,59.24408830925324,1980-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,"Trä, liggande timmer",Krypgrund,Papp,2-glas kopplade fönster
13.767482809789806,56.14812489138247,2005-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Stående träpanel,Krypgrund,Betongpannor,3-glas
17.64357158823274,59.895073242300086,2003-01-01T00:00:00Z,false,true,false,false,false,false,false,false,false,false,false,false,Träkonstruktion,Träpanel,Betongplatta på mark med vattenburen golvvärme,Betongpannor,3 glas isolerglaskasetter
11.938675949115632,57.733137152281216,1924-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Trä,Källare,Takpannor,
13.238264660581656,55.5117752925739,1929-01-01T00:00:00Z,false,false,false,false,false,false,false,true,false,false,false,false,Tegel,Puts,Källargrund,Betongpannor,2-glas isoler
17.950203,59.270855,1970-01-01T00:00:00Z,true,false,false,false,false,false,false,true,false,false,false,false,Murverk samt trä,Tegel,Platta på mark,Papp,Isolerglas
11.939976891678704,57.61102424282453,1971-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Eternit/träfasad,Krypgrund,"Plåt,  papp på vidbyggd del",2 & 3 - glas fönster
14.14939382652383,57.78339841464849,1927-01-01T00:00:00Z,false,true,false,false,true,false,false,false,false,false,false,false,"Träreglar, Betong",Puts,,Betongpannor,"2-Glas, 1-Glas"
13.005415819043431,55.725777232666445,1977-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Tegel,Betongplatta,Betongpannor från 2021,Övervägande 3-glasfönster
20.953766847685383,64.74427386060258,1985-01-01T00:00:00Z,true,false,false,false,true,false,false,false,false,false,false,false,Betong/trä,Stående träpanel,Källare,Betongpannor,Kopplade 2+1 fönster
14.483322628820474,58.03148234137943,1962-01-01T00:00:00Z,true,false,true,false,false,false,false,false,false,false,false,false,Timmer/trä,Trä,Suterräng,"Tegelpannor, Papp","3-Glas Isoler, 2-Glas, 2-Glas Isoler"
13.56504236199499,55.88654435795793,1962-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Träpanel,Krypgrund/platta på mark,Plåt,3-glas och 2-glasfönster (trä/aluminium)
14.136083678708848,57.73547749956858,1975-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Tegel och träpanel,Oisolerad betongplatta på mark,Betongpannor,3-Glas Isoler
12.276273494834337,57.76638762819283,1901-01-01T00:00:00Z,false,false,true,true,false,false,false,false,false,false,false,false,Timmer och plank,Trä,"Torpargrund, plintgrund och källare",Enkupiga tegelpannor,Isolerglaskassetter och kopplade tvåglasfönster
11.89826328911358,57.72036793978066,1977-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Trä,Platta på mark,Betongpannor,3 - glasfönster
11.923150129140463,57.722411845608725,1928-01-01T00:00:00Z,true,false,false,false,true,false,false,false,false,false,false,false,Trä & Betong,Eternit,Källare,Betongpannor,3-glas & 2-glas
13.35555246748635,55.666334397130974,2004-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Tegel/trä,Platta på mark,,3 glas isoler med aluminiumbeklädnad
21.044603901500697,64.75152037267857,1988-01-01T00:00:00Z,true,false,false,false,false,false,false,true,false,false,false,false,Trä och tegel,Tegel och träpanel,Betongplatta,Betongpannor,3 glas isolerfönster
20.88375914486914,64.60558194367124,1920-01-01T00:00:00Z,false,true,true,false,false,false,false,false,false,false,false,false,"Timmer, träregel på utbyggnad.",Stående Träpanel,"Platta på mark, torpargrund.",Plåt,3-glas isolerfönster
17.96413844633318,59.231467830758525,1937-01-01T00:00:00Z,true,false,false,false,true,false,false,false,false,false,false,false,Trä/betong,Trä,Källare med platta på mark,Betongpannor,Isolerglas samt 2-glas kopplade
17.94458971520862,59.516642602993066,1989-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Träpanel,Torpargrund med avfuktare från 2007. Servad 2018.,Betongpannor,3-glas
17.952502196022575,59.50032126538804,1984-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Träpanel,Betongplatta på mark,Betongpannor,3-glas isolerglasfönster
13.58656381442204,56.16215199744892,1972-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Liggande träpanel,Källare,Betongpannor,3-glas
11.28730116859472,58.58969622187309,1987-01-01T00:00:00Z,true,false,false,false,true,false,false,false,false,false,false,false,Trä/betong,Trä,Källare,Betongpannor,Isolerglas
11.731313693892972,57.704796753334655,2013-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Trä,Platta på mark,Betongpannor,3 - glas fönster
18.344546462060407,57.2613822794813,1898-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Träpanel,Torpargrund,Betongpannor + Plåt,2 glas
14.101155097616637,55.7280888269472,1965-01-01T00:00:00Z,true,false,false,false,false,true,false,false,false,false,false,false,Troligtvis lättbetong + trä,Puts/trä,Källare + gjutet,Betongpannor,2-glas + 3-glas
13.917132150088598,56.09702081899583,1974-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Puts,Krypgrund,Betongpannor,3-glas
11.679962093707427,58.0256089064412,2017-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Stående träpanel,Isolerad platta på mark,Takpannor,3 glas
17.330389071317814,62.41666818722006,1967-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Trä,Betong,Papptak Icopal monoflex -98.,"3-glas, 07-12"
11.897390527484536,57.898565613452085,2022-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Stående träpanel,Plintgrund,Korrugerad plåt.,3-glas
13.274034050904994,55.84731263570234,2006-01-01T00:00:00Z,false,false,false,false,false,true,false,false,false,false,false,false,Lättbetongstomme,Puts och Träpanel,Betongplatta mot mark med värmeisolering,Betongpannor,Isolerglasfönster
17.692522336690892,59.83271848368884,1987-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Träpanel,Betongplatta,Betongpannor,3-glas isolerrutor
12.929062863215403,55.4055135276409,1979-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Mexitegel/träpanel,Betongplatta,Betongpannor,3-glas och 2-glas
17.38007030831842,62.43736796243461,1979-01-01T00:00:00Z,true,false,false,false,false,false,false,false,false,false,false,false,Trä,Tegel,Betong,Papp,3-glas
